key,title,authors,year,venue,doi,url,discovery_url,cited_in_sections
Dan2026MultilingualToxicitySurvey,A Survey of Toxicity Mitigation Strategies for Multilingual Language Models,Soham Dan; Himanshu Beniwal; Thomas Hartvigsen,2026,Findings of the Association for Computational Linguistics: ACL 2026,,,https://scholar.google.com/scholar?q=%22A%20Survey%20of%20Toxicity%20Mitigation%20Strategies%20for%20Multilingual%20Language%20Models%22,1 Introduction; 4 Content Measurement: From Labels to Policy-Conditioned Evidence
Xu2026ConceptQuickLook,Detecting Malicious Concepts Without Image Generation in AI-Generated Content (AIGC),"Xu, Kun; Wen, Wenying; Qi, Shuren; Wang, Tao; Zhang, Yushu; Fang, Yuming",2026,IEEE Transactions on Dependable and Secure Computing,,,https://scholar.google.com/scholar?q=%22Detecting%20Malicious%20Concepts%20Without%20Image%20Generation%20in%20AI-Generated%20Content%20%28AIGC%29%22,1 Introduction; 2 Review Design and Evidence Coding; 3 The SCOPE Framework: Defining Governance Validity; 7 Hidden Components as Toxicity Control Channels; 10 Cross-Cutting Synthesis and Research Agenda
Xiang2026GuardTraceVL,GuardTrace-VL: Detecting Unsafe Multimodel Reasoning via Iterative Safety Supervision,"Xiang, Yuxiao; Chen, Junchi; Jin, Zhenchao; Miao, Changtao; Yuan, Haojie; Chu, Qi; Gong, Tao; Yu, Nenghai",2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,https://scholar.google.com/scholar?q=%22GuardTrace-VL%3A%20Detecting%20Unsafe%20Multimodel%20Reasoning%20via%20Iterative%20Safety%20Supervision%22,8 Adaptive Evasion and Detection–Mitigation Coupling
Huang2026LLaVAShield,LLaVAShield: Safeguarding Multimodal Multi-Turn Dialogues in Vision-Language Models,"Huang, Guolei; Peng, Qinzhi; Xu, Gan; Huang, Yao; Lu, Yuxuan; Shen, Yongjun",2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,https://scholar.google.com/scholar?q=%22LLaVAShield%3A%20Safeguarding%20Multimodal%20Multi-Turn%20Dialogues%20in%20Vision-Language%20Models%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 10 Cross-Cutting Synthesis and Research Agenda
Weng2026MErasureBench,M-ErasureBench: A Comprehensive Multimodal Evaluation Benchmark for Concept Erasure in Diffusion Models,"Weng, Ju-Hsuan; Liao, Jia-Wei; Chou, Cheng-Fu; Chen, Jun-Cheng",2026,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,,https://scholar.google.com/scholar?q=%22M-ErasureBench%3A%20A%20Comprehensive%20Multimodal%20Evaluation%20Benchmark%20for%20Concept%20Erasure%20in%20Diffusion%20Models%22,7 Hidden Components as Toxicity Control Channels
Lyu2026MasqLoRA,When LoRA Betrays: Backdooring Text-to-Image Models by Masquerading as Benign Adapters,"Lyu, Liangwei; Xu, Jiaqi; Ding, Jianwei; Deng, Qiyao",2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,https://scholar.google.com/scholar?q=%22When%20LoRA%20Betrays%3A%20Backdooring%20Text-to-Image%20Models%20by%20Masquerading%20as%20Benign%20Adapters%22,1 Introduction; 2 Review Design and Evidence Coding; 7 Hidden Components as Toxicity Control Channels; 8 Adaptive Evasion and Detection–Mitigation Coupling; 10 Cross-Cutting Synthesis and Research Agenda
Liu2025AlignGuard,AlignGuard: Scalable Safety Alignment for Text-to-Image Generation,"Liu, Runtao; Chen, I Chieh; Gu, Jindong; Zhang, Jipeng; Pi, Renjie; Chen, Qifeng; Torr, Philip; Khakzar, Ashkan; Pizzati, Fabio",2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,https://scholar.google.com/scholar?q=%22AlignGuard%3A%20Scalable%20Safety%20Alignment%20for%20Text-to-Image%20Generation%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Liu2025AutoPromptT2I,AutoPrompt: Automated Red-Teaming of Text-to-Image Models via LLM-Driven Adversarial Prompts,"Liu, Yufan; Zhang, Wanqian; Chen, Huashan; Wang, Lin; Jia, Xiaojun; Lin, Zheng; Wang, Weiping",2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,https://scholar.google.com/scholar?q=%22AutoPrompt%3A%20Automated%20Red-Teaming%20of%20Text-to-Image%20Models%20via%20LLM-Driven%20Adversarial%20Prompts%22,8 Adaptive Evasion and Detection–Mitigation Coupling
Wang2025MMSafeAware,Can't See the Forest for the Trees: Benchmarking Multimodal Safety Awareness for Multimodal LLMs,"Wang, Wenxuan; Liu, Xiaoyuan; Gao, Kuiyi; Huang, Jen-tse; Yuan, Youliang; He, Pinjia; Wang, Shuai; Tu, Zhaopeng",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,https://scholar.google.com/scholar?q=%22Can%27t%20See%20the%20Forest%20for%20the%20Trees%3A%20Benchmarking%20Multimodal%20Safety%20Awareness%20for%20Multimodal%20LLMs%22,1 Introduction; 3 The SCOPE Framework: Defining Governance Validity; 9 Decision-Oriented Governance Under Uncertainty
Li2025DetectGuide,Detect-and-Guide: Self-Regulation of Diffusion Models for Safe Text-to-Image Generation via Guideline Token Optimization,"Li, Feifei; Zhang, Mi; Sun, Yiming; Yang, Min",2025,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,https://scholar.google.com/scholar?q=%22Detect-and-Guide%3A%20Self-Regulation%20of%20Diffusion%20Models%20for%20Safe%20Text-to-Image%20Generation%20via%20Guideline%20Token%20Optimization%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
